top - 11:18:00 up 12 min,  1 user,  load average: 0.66, 0.39, 0.30
Tasks: 354 total,   4 running, 350 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.3 us, 50.0 sy,  0.0 ni, 25.0 id, 13.3 wa,  0.0 hi,  3.3 si,  0.0 st
MiB Mem :   3878.7 total,   1955.7 free,   1502.7 used,    687.1 buff/cache
MiB Swap:    975.0 total,    975.0 free,      0.0 used.   2376.0 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
BLACKLISTED:     100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
BLACKLISTED:     101 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
BLACKLISTED:     102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
BLACKLISTED:     103 root      20   0       0      0      0 S   0.0   0.0   0:00.00 xenbus_+
BLACKLISTED:     104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
BLACKLISTED:     106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
BLACKLISTED:     111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
BLACKLISTED:     116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
WHITELISTED:     117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
BLACKLISTED:     194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt_pol+
BLACKLISTED:     195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
BLACKLISTED:     196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
BLACKLISTED:     197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt/0
BLACKLISTED:     198 root     -51   0       0      0      0 S   0.0   0.0   0:00.22 irq/16-+
BLACKLISTED:     199 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
BLACKLISTED:     200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm
BLACKLISTED:     201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     205 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
BLACKLISTED:     206 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     209 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
BLACKLISTED:     210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
BLACKLISTED:     211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
